basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag,neg_basin_flag
01052500,0.005529097159749083,-1.1326668986506796,0.3192168310108955,6.519757933917912e-05,0.008074501801298897,0.00668775891423505,0.46086499168641293,0.5708119037365774,True,True
01137500,0.004347148202928372,-2.084187651807776,0.2448467321420386,5.828404527161925e-05,0.007634398815337017,0.005288455020738263,0.047664598292958105,0.2739510529794422,True,True
01142500,0.00951460930534526,-2.6689877925437435,0.2141791849610262,0.00033214535725216817,0.018224855479596215,0.009095569199678293,-0.5146504311570035,0.30318338680565765,True,True
01162500,0.004935320105368157,-6.461527306187988,0.11818197398815829,0.00018174328987082054,0.013481219895499833,0.007831304108299427,-1.0202738632723216,0.3698893570701381,True,True
01333000,0.0,,,9.011944954662364e-05,0.009493126436881773,0.009025490235943224,,,True,False
01423000,0.009235017092979738,-0.3583833348577792,0.4240192784691232,0.00011585045720157654,0.010763385025240737,0.00783940618831042,-1.283763877721726,0.16607226385012952,True,True
01487000,0.007744244094171833,-2.640230370180374,0.21550654174980718,0.00021831668845178023,0.014775543592429358,0.011034235901934485,-0.10813327878755152,0.6285122057501095,True,True
01543500,0.005835246912906666,-5.619885182075918,0.13123557325407964,0.00022540779569641737,0.015013587036295403,0.01184229715466344,-49.95197384677781,0.24299291997689304,True,True
01583500,0.005032018301648334,0.10718735238043475,0.5283143058335,2.2607094923365015e-05,0.004754691885218748,0.0028768383746398496,-0.3176774055158109,0.4604147629100553,True,False
02014000,0.0033015033658087356,-17.42295423453917,0.05148547372993005,0.00020080880975265964,0.014170702514436594,0.010134796266571941,-54.22422258783717,0.2020690300922875,True,True
02028500,0.005034801536083896,-1.2723130148014428,0.30559423731066204,5.760137730871632e-05,0.007589557122040542,0.005478231215464562,0.17178404211795906,0.39367687511674504,True,True
02070000,0.0049530832015809365,-4.144033624846328,0.16275952591731,0.00012619874770944444,0.011233821598612132,0.00528006305141874,-0.6582520125454654,0.375900409562378,True,True
02081500,0.0,,,1.800101092431645e-05,0.004242759824019791,0.004184482640111933,,,True,False
02082950,0.003727685067306706,-26.40821146397982,0.035201089701403745,0.00038085452884615705,0.01951549458369316,0.007691148155644459,-6.066411302132558,0.7351426744795068,True,True
02102908,0.0,,,1.705380823647663e-05,0.004129625677525341,0.0034791199543341266,,,True,False
02137727,0.0045840264618829335,-5.229295272662644,0.13832606945540998,0.00013089804165222996,0.011441068204159521,0.006222458740026953,-0.7400568611693583,0.39663918372846424,True,True
02196000,0.009450526189242596,-9.933337141542722,0.08379885593936397,0.0009764830748927507,0.031248729172443968,0.009193731328212135,-6.198936182520259,0.6098877484429682,True,True
02215100,0.00012339559492717227,-956.9045759012826,0.0010428566357190353,1.4585508015390578e-05,0.0038190978012340266,0.0035112147338821234,-5596.565204445905,-0.03604158583129633,True,True
