link,to,gages,Length,lon,lat,gagestr
8611825,8612083,b'       02038850',1826.0,-78.63587,37.410465,b'       02038850'
8719481,8718809,b'       02046000',1385.0,-77.59783,37.06504,b'       02046000'
8744593,8743361,b'       02051000',642.0,-78.350006,36.99889,b'       02051000'
8741021,8741019,b'       02051500',1010.0,-77.82721,36.718323,b'       02051500'
8746117,8746119,b'       02053200',5539.0,-77.02319,36.372818,b'       02053200'
8629303,8628719,b'       02053800',5267.0,-80.25741,37.152744,b'       02053800'
8627131,8623691,b'       02055100',3545.0,-79.93031,37.408085,b'       02055100'
8626863,8626867,b'       02056900',3652.0,-79.84544,37.04866,b'       02056900'
8627301,8625791,b'       02059500',1093.0,-79.51983,37.172382,b'       02059500'
8647998,8648006,b'       02064000',1912.0,-78.955154,37.120228,b'       02064000'
8648830,8648280,b'       02065500',3028.0,-78.756035,37.08728,b'       02065500'
8675163,8675135,b'       02069700',9292.0,-80.12535,36.564716,b'       02069700'
8673051,8673171,b'       02070000',2486.0,-79.98152,36.568436,b'       02070000'
8673535,8673537,b'       02074500',603.0,-79.50251,36.619267,b'       02074500'
8701361,8700875,b'       02077200',10667.0,-79.20333,36.392406,b'       02077200'
8760623,8759151,b'       02081500',1913.0,-78.57831,36.194164,b'       02081500'
10511316,10510478,b'       02082950',5112.0,-77.87054,36.197292,b'       02082950'
10976591,10977039,b'       02092500',1373.0,-77.45833,35.064842,b'       02092500'
8895436,8895542,b'       02096846',1038.0,-79.204254,35.988342,b'       02096846'
8849951,8849829,b'       02102908',3991.0,-79.1809,35.17252,b'       02102908'
10525935,10525953,b'       02108000',1122.0,-77.83506,34.831055,b'       02108000'
9251726,9251300,b'       02111180',2868.0,-81.40535,36.07387,b'       02111180'
9250814,9250818,b'       02111500',3318.0,-81.166885,36.18234,b'       02111500'
9233605,9234691,b'       02118500',731.0,-80.74604,36.003338,b'       02118500'
9210446,9211186,b'       02128000',538.0,-79.82966,35.388836,b'       02128000'
9754776,9754772,b'       02137727',672.0,-82.05986,35.6862,b'       02137727'
9752476,9752546,b'       02140991',1171.0,-81.71119,35.832695,b'       02140991'
9745122,9745076,b'       02143000',2607.0,-81.39374,35.68989,b'       02143000'
9745600,9745570,b'       02143040',2697.0,-81.56294,35.59076,b'       02143040'
12036581,12036605,b'       02149000',1655.0,-82.11803,35.4274,b'       02149000'
12034181,12034215,b'       02152100',3117.0,-81.68242,35.48832,b'       02152100'
6269342,6269358,b'       02177000',1460.0,-83.30412,34.811325,b'       02177000'
6267840,6269292,b'       02178400',1869.0,-83.53712,34.890934,b'       02178400'
6289497,6289477,b'       02193340',4245.0,-82.86657,33.681843,b'       02193340'
11730030,11730052,b'       02196000',715.0,-82.1825,33.727055,b'       02196000'
9978327,9978337,b'       02198100',428.0,-81.81398,32.936905,b'       02198100'
9944858,9944150,b'       02202600',6335.0,-81.47491,32.155174,b'       02202600'
6335902,6335992,b'       02212600',2177.0,-83.72584,33.094936,b'       02212600'
6365072,6364346,b'       02215100',2488.0,-83.50138,32.23872,b'       02215100'
6383975,6383979,b'       02216180',1597.0,-82.92581,31.993141,b'       02216180'
1056599,1057297,b'       02221525',1242.0,-83.4855,33.255035,b'       02221525'
18260325,18260323,b'       02231000',4200.0,-82.08302,30.360249,b'       02231000'
11014543,11015951,b'       02231342',112.0,-80.7962,27.56848,b'       02231342'
10997161,10996215,b'       02235200',10955.0,-81.51043,28.901384,b'       02235200'
16662855,16662827,b'       02245500',1561.0,-81.85223,29.976543,b'       02245500'
16806475,16806507,b'       02296500',3057.0,-81.78763,27.378706,b'       02296500'
16812461,16811859,b'       02297155',3623.0,-82.01715,27.475792,b'       02297155'
16807511,16807517,b'       02297310',4731.0,-81.98182,27.188158,b'       02297310'
16808187,16808203,b'       02298123',1315.0,-81.78349,27.051922,b'       02298123'
16837084,16837126,b'       02298608',1982.0,-82.15927,27.343348,b'       02298608'
16877194,16877262,b'       02299950',1815.0,-82.214035,27.467373,b'       02299950'
16918210,16918194,b'       02300700',2728.0,-82.34861,27.80077,b'       02300700'
16955670,16955674,b'       02310947',4475.0,-82.04546,28.31812,b'       02310947'
16949670,16949660,b'       02312200',9148.0,-82.16796,28.566143,b'       02312200'
1997544,1997546,b'       02314500',10567.0,-82.55612,30.692083,b'       02314500'
166743978,166743977,b'       02315500',5733.0,-82.732925,30.330168,b'       02315500'
1978648,1978654,b'       02324400',5375.0,-83.471565,30.099363,b'       02324400'
10365698,10365710,b'       02327100',8302.0,-84.50537,30.10897,b'       02327100'
6442680,6442684,b'       02349900',2608.0,-83.904144,32.188934,b'       02349900'
6460293,6460665,b'       02350900',2699.0,-84.25667,31.76796,b'       02350900'
2188031,2188061,b'       02361000',1648.0,-85.608864,31.343813,b'       02361000'
2210130,2210148,b'       02363000',820.0,-85.78466,31.59352,b'       02363000'
789206,788956,b'       02369800',2776.0,-86.710175,31.017513,b'       02369800'
2377281,2376959,b'       02371500',907.0,-86.24974,31.57382,b'       02371500'
2323396,2323410,b'       02372250',1948.0,-86.40521,31.594198,b'       02372250'
933140017,933140016,b'       02374500',749.0,-86.98582,31.415865,b'       02374500'
6478765,6478767,b'       02381600',560.0,-84.46619,34.570858,b'       02381600'
12193270,12194350,b'       02384540',3141.0,-84.72383,34.87119,b'       02384540'
6498620,6497222,b'       02395120',1895.0,-84.888084,34.246,b'       02395120'
22274612,22274614,b'       02408540',2083.0,-86.27197,32.916492,b'       02408540'
22035157,22035193,b'       02415000',1330.0,-85.87984,33.068188,b'       02415000'
21676818,21677018,b'       02422500',979.0,-86.90337,32.582993,b'       02422500'
21457950,21464256,b'       02427250',2142.0,-87.07175,31.995325,b'       02427250'
18693151,18693133,b'       02430085',1173.0,-88.28075,34.4669,b'       02430085'
18578829,18578815,b'       02450250',4728.0,-87.38462,34.281208,b'       02450250'
18229143,18227153,b'       02464000',4132.0,-87.59372,33.4731,b'       02464000'
18227533,18227503,b'       02464146',1268.0,-87.50993,33.41,b'       02464146'
18227431,18227465,b'       02464360',808.0,-87.63919,33.423653,b'       02464360'
18208346,18208372,b'       02465493',3283.0,-87.63115,32.990356,b'       02465493'
21640642,21639650,b'       02469800',1921.0,-88.01929,31.747053,b'       02469800'
18154237,18154273,b'       02472000',1839.0,-89.40531,31.702059,b'       02472000'
18157053,18156767,b'       02472500',2297.0,-89.41046,31.425797,b'       02472500'
18105412,18105240,b'       02479155',1506.0,-89.01444,31.0225,b'       02479155'
18107248,18106868,b'       02479300',3245.0,-88.77341,30.734516,b'       02479300'
18094981,18094325,b'       02479560',2104.0,-88.46362,30.807686,b'       02479560'
18070104,18070114,b'       02481000',2094.0,-89.11621,30.55714,b'       02481000'
18075806,18075848,b'       02481510',2521.0,-89.27181,30.478369,b'       02481510'
8971150,8971062,b'       03010655',1138.0,-78.20118,41.965034,b'       03010655'
8974366,8973360,b'       03011800',1142.0,-78.71355,41.764217,b'       03011800'
8975242,8975276,b'       03015500',221.0,-79.31588,41.855225,b'       03015500'
9049227,9049609,b'       03021350',4211.0,-79.78358,42.013634,b'       03021350'
6874093,6873553,b'       03026500',4417.0,-78.59661,41.63456,b'       03026500'
6874111,6873861,b'       03028000',1995.0,-78.69345,41.566322,b'       03028000'
11049880,11049274,b'       03049000',960.0,-79.69657,40.718487,b'       03049000'
11049744,11049784,b'       03049800',3109.0,-79.93535,40.523106,b'       03049800'
4353002,4352686,b'       03050000',895.0,-79.88129,38.807655,b'       03050000'
3775599,3775049,b'       03066000',1913.0,-79.469826,39.125885,b'       03066000'
3775993,3775989,b'       03069500',1484.0,-79.687,39.127228,b'       03069500'
3773681,3773675,b'       03070500',1083.0,-79.71012,39.622314,b'       03070500'
3808829,3808413,b'       03076600',2887.0,-79.39588,39.659637,b'       03076600'
3808365,3808327,b'       03078000',3094.0,-79.143845,39.697075,b'       03078000'
15400312,15400174,b'       03140000',1847.0,-81.86264,40.36284,b'       03140000'
15380169,15380059,b'       03144000',4200.0,-82.14234,40.139797,b'       03144000'
19440277,19439919,b'       03159540',1834.0,-81.8904,39.06089,b'       03159540'
6892192,6892186,b'       03161000',2721.0,-81.40839,36.402126,b'       03161000'
6887572,6887560,b'       03164000',4617.0,-80.98168,36.664036,b'       03164000'
6886804,6886648,b'       03165000',11899.0,-80.92868,36.668957,b'       03165000'
6884590,6884216,b'       03170000',2432.0,-80.55673,37.031975,b'       03170000'
6908597,6908085,b'       03173000',1970.0,-80.70391,37.26702,b'       03173000'
12103826,12103728,b'       03180500',1933.0,-79.83855,38.54065,b'       03180500'
12105064,12105172,b'       03182500',2983.0,-80.11684,38.18979,b'       03182500'
4547810,4547808,b'       03186500',1220.0,-80.48467,38.380463,b'       03186500'
4547840,4546478,b'       03187500',1185.0,-80.52231,38.295258,b'       03187500'
435154,435122,b'       03213700',5075.0,-82.28672,37.669647,b'       03213700'
1920776,1922046,b'       03237280',2251.0,-83.222466,38.641,b'       03237280'
1919636,1919682,b'       03237500',974.0,-83.41911,38.80695,b'       03237500'
3930910,3930874,b'       03241500',3443.0,-83.89051,39.724808,b'       03241500'
487460,487958,b'       03280700',1031.0,-83.303314,37.163925,b'       03280700'
504810,504706,b'       03281100',3062.0,-83.75994,37.152367,b'       03281100'
503758,505374,b'       03281500',599.0,-83.67273,37.47983,b'       03281500'
1827630,1827300,b'       03285000',4247.0,-84.66184,37.641376,b'       03285000'
10161364,10161380,b'       03291780',1755.0,-85.2623,38.878548,b'       03291780'
10302627,10300593,b'       03300400',2692.0,-85.28404,37.83461,b'       03300400'
10207857,10207781,b'       03340800',16223.0,-86.91798,39.832973,b'       03340800'
10337448,10339194,b'       03346000',2738.0,-87.947205,39.01204,b'       03346000'
18464802,18464506,b'       03357350',9601.0,-86.745804,39.75796,b'       03357350'
18454477,18454647,b'       03364500',19172.0,-85.67784,39.313328,b'       03364500'
18451023,18450629,b'       03366500',6806.0,-85.67092,38.802505,b'       03366500'
18450047,18450059,b'       03368000',12078.0,-85.449066,39.086693,b'       03368000'
11868270,11868290,b'       03384450',1813.0,-88.54707,37.469902,b'       03384450'
22165090,22165088,b'       03439000',3036.0,-82.82715,35.146572,b'       03439000'
22161670,22162042,b'       03450000',1139.0,-82.405266,35.656,b'       03450000'
22152669,22152611,b'       03455500',2297.0,-82.93982,35.388763,b'       03455500'
22152435,22152375,b'       03456500',3106.0,-82.8721,35.472015,b'       03456500'
22151401,22151387,b'       03460000',2227.0,-83.07411,35.659424,b'       03460000'
19490270,19489966,b'       03463300',1143.0,-82.18343,35.833237,b'       03463300'
19752335,19751209,b'       03471500',833.0,-81.62951,36.76004,b'       03471500'
19752425,19751693,b'       03473000',2688.0,-81.84737,36.650158,b'       03473000'
19743430,19743826,b'       03479000',1468.0,-81.82849,36.24006,b'       03479000'
19761976,19761978,b'       03488000',2162.0,-81.74554,36.900112,b'       03488000'
22130235,22130213,b'       03498500',2074.0,-83.879715,35.791687,b'       03498500'
19736555,19735939,b'       03500000',3526.0,-83.374306,35.1461,b'       03500000'
19735951,19735939,b'       03500240',4850.0,-83.38944,35.156418,b'       03500240'
19736561,19736013,b'       03504000',519.0,-83.61992,35.125828,b'       03504000'
19621426,19621434,b'       03574500',4121.0,-86.305725,34.626133,b'       03574500'
19504798,19506226,b'       03604000',1072.0,-87.83312,35.4957,b'       03604000'
1757696,904020529,b'       04015330',1455.0,-91.78705,46.94694,b'       04015330'
1799897,1799885,b'       04024430',10504.0,-92.09694,46.641,b'       04024430'
1815879,1813283,b'       04027000',2525.0,-90.69576,46.490303,b'       04027000'
11930606,11930608,b'       04040500',1437.0,-88.582306,46.583817,b'       04040500'
11937201,11937967,b'       04043050',607.0,-88.3849,47.22932,b'       04043050'
12186641,12186625,b'       04045500',1817.0,-85.27589,46.57225,b'       04045500'
12222392,12222394,b'       04056500',1942.0,-86.155975,46.03132,b'       04056500'
272589,272607,b'       04057510',10673.0,-86.70667,45.91612,b'       04057510'
11959338,11959342,b'       04057800',3747.0,-87.86917,46.495945,b'       04057800'
6860182,6859808,b'       04059500',7553.0,-87.19169,45.749714,b'       04059500'
6844165,6844139,b'       04063700',4240.0,-88.468575,45.76057,b'       04063700'
9027875,9027877,b'       04074950',2273.0,-88.73779,45.191334,b'       04074950'
3473077,3473569,b'       04105700',10809.0,-85.35842,42.379253,b'       04105700'
12232338,12232336,b'       04115265',1593.0,-84.98232,43.251064,b'       04115265'
904060094,8994318,b'       04122200',2413.0,-86.23539,43.45881,b'       04122200'
8992044,8991864,b'       04122500',7917.0,-86.25936,43.94217,b'       04122500'
12121104,12120376,b'       04124000',2396.0,-85.68763,44.436752,b'       04124000'
12502977,12502971,b'       04127997',3265.0,-84.605736,45.284966,b'       04127997'
15662050,15662066,b'       04185000',820.0,-84.43356,41.504646,b'       04185000'
15613832,15613810,b'       04196800',1169.0,-83.347855,40.923695,b'       04196800'
15612400,15612418,b'       04197100',1717.0,-83.10529,41.019993,b'       04197100'
15612196,15612774,b'       04197170',5388.0,-83.158646,41.107964,b'       04197170'
9841738,9841714,b'       04213000',1826.0,-80.60565,41.92676,b'       04213000'
9841436,9841444,b'       04213075',2641.0,-80.28499,41.994274,b'       04213075'
15569391,15569747,b'       04216418',3756.0,-78.279854,42.85564,b'       04216418'
15550135,15550119,b'       04221000',2025.0,-77.9558,42.12241,b'       04221000'
15547935,15547875,b'       04224775',2510.0,-77.70429,42.534973,b'       04224775'
15514388,15513296,b'       04256000',11289.0,-75.325836,43.74992,b'       04256000'
4599789,4599975,b'       04296000',1063.0,-72.27196,44.86664,b'       04296000'
14267516,14267518,b'       05056000',7961.0,-98.712265,47.802868,b'       05056000'
14269180,14268912,b'       05057000',4878.0,-98.02251,47.435642,b'       05057000'
14269214,14269114,b'       05057200',6879.0,-98.12924,47.232033,b'       05057200'
7027381,7026409,b'       05062500',6535.0,-96.24062,47.259014,b'       05062500'
7069743,7069741,b'       05087500',23854.0,-96.82676,48.342434,b'       05087500'
14172539,14172507,b'       05120500',18524.0,-100.52676,48.169743,b'       05120500'
14156742,14156822,b'       05123400',20961.0,-100.44209,48.611866,b'       05123400'
7140308,7139936,b'       05129115',54.0,-92.5657,48.26451,b'       05129115'
7171122,7171118,b'       05131500',4767.0,-93.543594,48.396996,b'       05131500'
4085588,4084458,b'       05291000',6339.0,-96.482956,45.29123,b'       05291000'
12981697,12981415,b'       05362000',4525.0,-90.93876,45.313297,b'       05362000'
13399941,13399933,b'       05393500',3374.0,-89.98724,45.445267,b'       05393500'
14733228,14733222,b'       05399500',1087.0,-90.07701,44.821964,b'       05399500'
13624991,13624581,b'       05408000',3607.0,-90.64625,43.582317,b'       05408000'
13312489,13313347,b'       05412500',807.0,-91.26439,42.738712,b'       05412500'
13324626,13324644,b'       05413500',10611.0,-90.805466,42.700844,b'       05413500'
13324402,13324444,b'       05414000',1800.0,-90.64557,42.73762,b'       05414000'
10605920,10606012,b'       05444000',1713.0,-89.69694,41.903553,b'       05444000'
11915429,11916237,b'       05454000',2099.0,-91.49128,41.699467,b'       05454000'
7016531,7016407,b'       05458000',1049.0,-92.50363,43.0321,b'       05458000'
6960295,6960301,b'       05466500',11763.0,-90.966965,41.185284,b'       05466500'
22252001,22253907,b'       05487980',1093.0,-93.26609,41.246758,b'       05487980'
4995875,4995867,b'       05488200',2913.0,-93.04446,41.300915,b'       05488200'
4994047,4994035,b'       05489000',632.0,-92.90859,41.218124,b'       05489000'
5802762,5801078,b'       05495000',6390.0,-91.60105,40.39496,b'       05495000'
5802188,5802222,b'       05495500',879.0,-91.340034,40.143707,b'       05495500'
2925495,2927219,b'       05501000',3200.0,-91.53011,39.82044,b'       05501000'
5640210,5640212,b'       05503800',2002.0,-91.99759,39.58958,b'       05503800'
4868933,4869695,b'       05507600',1343.0,-91.679214,39.434944,b'       05507600'
4867221,4867203,b'       05508805',1575.0,-91.34726,39.520103,b'       05508805'
2507315,2507373,b'       05514500',3115.0,-90.96421,39.014946,b'       05514500'
13454068,13454034,b'       05525500',2767.0,-87.71896,40.636253,b'       05525500'
14836121,14836139,b'       05556500',2158.0,-89.49796,41.36719,b'       05556500'
13802760,13802764,b'       05584500',992.0,-90.894295,40.3308,b'       05584500'
13803642,13803636,b'       05585000',2114.0,-90.63244,40.02662,b'       05585000'
13771102,13771078,b'       05591550',1773.0,-88.53237,39.50546,b'       05591550'
13771802,13771804,b'       05592050',5295.0,-88.89381,39.38733,b'       05592050'
13869098,13869102,b'       05592575',2122.0,-88.95703,38.934605,b'       05592575'
13873068,13872672,b'       05593575',2311.0,-89.4153,38.44763,b'       05593575'
13881906,13881458,b'       05593900',1274.0,-89.35051,39.149628,b'       05593900'
13783124,13781558,b'       05595730',3073.0,-89.041725,38.256115,b'       05595730'
3059764,3060252,b'       06037500',1530.0,-111.07032,44.660618,b'       06037500'
3855315,3855285,b'       06043500',299.0,-111.270706,45.49846,b'       06043500'
2965578,2965686,b'       06188000',4956.0,-110.37365,44.92348,b'       06188000'
4369760,4369874,b'       06191500',2390.0,-110.79817,45.119465,b'       06191500'
12899984,12901000,b'       06221400',2590.0,-109.41209,43.344463,b'       06221400'
12900462,12900470,b'       06224000',699.0,-109.206024,43.175323,b'       06224000'
12804142,12804154,b'       06278300',2051.0,-107.39635,44.504177,b'       06278300'
12788124,12788120,b'       06280300',155.0,-109.55495,44.207657,b'       06280300'
12771343,12770867,b'       06289000',1481.0,-107.61486,45.008266,b'       06289000'
5348813,5348817,b'       06311000',1518.0,-107.08057,44.027325,b'       06311000'
21539242,21539230,b'       06332515',3229.0,-102.77518,47.78442,b'       06332515'
16247217,16248121,b'       06339100',4794.0,-102.77846,47.233776,b'       06339100'
16247437,16247337,b'       06339500',8695.0,-102.06241,47.155067,b'       06339500'
16233369,16233377,b'       06344600',7097.0,-103.038765,47.025143,b'       06344600'
16213178,16213240,b'       06350000',5070.0,-102.55413,46.427456,b'       06350000'
21860180,21860182,b'       06352000',5349.0,-102.468155,46.154743,b'       06352000'
21861216,21861200,b'       06353000',3915.0,-101.32834,46.091183,b'       06353000'
16203752,16203724,b'       06354000',2477.0,-100.93106,46.380455,b'       06354000'
11258604,11258600,b'       06360500',4804.0,-100.858894,45.260666,b'       06360500'
14396112,14396122,b'       06404000',978.0,-103.33816,43.875298,b'       06404000'
14396284,14396296,b'       06406000',4652.0,-103.19175,43.828167,b'       06406000'
17532989,17532979,b'       06408700',4581.0,-103.86376,44.13034,b'       06408700'
17533503,17533791,b'       06409000',987.0,-103.826096,44.012512,b'       06409000'
1318968,1318986,b'394220106431500',1600.0,-106.72584,39.70479,b'394220106431500'
5481765,5481755,b'       06431500',1182.0,-103.86312,44.48594,b'       06431500'
16131765,16131669,b'       06440200',1759.0,-101.7712,43.965096,b'       06440200'
16128803,16130343,b'       06441500',5008.0,-100.38661,44.331676,b'       06441500'
16074848,16075256,b'       06447000',2212.0,-101.52419,43.75221,b'       06447000'
20179529,20179473,b'       06447500',1445.0,-101.633514,43.17047,b'       06447500'
20177973,20177979,b'       06450500',900.0,-100.744576,43.601254,b'       06450500'
11547654,11547766,b'       06452000',14328.0,-99.52425,43.752625,b'       06452000'
11673186,11673184,b'       06453600',4212.0,-98.176254,42.810875,b'       06453600'
11654348,11654354,b'       06464500',3542.0,-99.77584,43.023037,b'       06464500'
12570210,12570206,b'       06468170',1901.0,-98.85857,47.557247,b'       06468170'
12576056,12576066,b'       06468250',5853.0,-98.79713,47.402985,b'       06468250'
11468868,11468876,b'       06470800',4189.0,-98.076836,46.236248,b'       06470800'
12664828,12664628,b'       06477500',12493.0,-98.26115,43.77398,b'       06477500'
9370700,9370706,b'       06479215',5738.0,-97.18609,45.185722,b'       06479215'
9370962,9370976,b'       06479438',3173.0,-97.1678,45.012325,b'       06479438'
17244016,17244010,b'       06601000',2093.0,-96.48799,42.32051,b'       06601000'
16000378,16000368,b'       06614800',2682.0,-105.86847,40.486256,b'       06614800'
15983485,15983511,b'       06622700',1657.0,-106.52172,41.36932,b'       06622700'
15984809,15984777,b'       06623800',2061.0,-106.82318,41.0218,b'       06623800'
15968457,15968453,b'       06632400',720.0,-106.225105,41.583717,b'       06632400'
2900149,2900129,b'       06746095',576.0,-105.88083,40.541206,b'       06746095'
17356815,17356977,b'       06784000',601.0,-98.74163,41.03144,b'       06784000'
17405547,17405835,b'       06803510',3367.0,-96.67607,40.887253,b'       06803510'
17399459,17399475,b'       06803530',829.0,-96.54574,41.0185,b'       06803530'
19158238,19158244,b'       06814000',2922.0,-96.09866,39.94515,b'       06814000'
8364344,8364342,b'       06847900',2937.0,-100.094505,39.766792,b'       06847900'
19017621,19017107,b'       06853800',1677.0,-98.25058,39.899124,b'       06853800'
3539121,3539113,b'       06876700',2209.0,-97.833015,39.139954,b'       06876700'
18880718,18880764,b'       06878000',3650.0,-97.03994,39.031788,b'       06878000'
18841318,18841314,b'       06879650',1294.0,-96.59769,39.10326,b'       06879650'
2277053,2277071,b'       06885500',3045.0,-96.44337,39.67852,b'       06885500'
3643688,3643704,b'       06888500',3459.0,-96.16123,39.063766,b'       06888500'
3645652,3645672,b'       06889200',762.0,-95.87396,39.20267,b'       06889200'
3646124,3646108,b'       06889500',1427.0,-95.72318,39.099995,b'       06889500'
3729049,3729091,b'       06892000',865.0,-95.01116,39.1157,b'       06892000'
5124308,5124322,b'       06903400',1255.0,-93.25545,40.95249,b'       06903400'
5995392,5995376,b'       06906800',4456.0,-92.9689,38.699722,b'       06906800'
10116766,10116938,b'       06910800',3332.0,-95.96774,38.560158,b'       06910800'
10117754,10115408,b'       06911900',2495.0,-95.835396,38.710335,b'       06911900'
7360005,7359833,b'       06917000',2062.0,-94.715004,38.01744,b'       06917000'
7374577,7374533,b'       06918460',580.0,-93.802475,37.401867,b'       06918460'
7371515,7371499,b'       06919500',1936.0,-93.87489,37.83095,b'       06919500'
7388043,7388007,b'       06921070',5028.0,-93.381165,37.672688,b'       06921070'
7388709,7387709,b'       06921200',4232.0,-93.27306,37.752884,b'       06921200'
7445669,7445287,b'       06934000',1150.0,-91.82048,38.38625,b'       06934000'
5053369,5054201,b'       07014500',1816.0,-91.10942,38.159138,b'       07014500'
11818755,11817455,b'       07056000',2354.0,-92.74833,35.982883,b'       07056000'
7650991,7651759,b'       07057500',449.0,-92.24816,36.621105,b'       07057500'
11834118,11834170,b'       07060710',963.0,-92.21097,35.993324,b'       07060710'
7518797,7518821,b'       07066000',722.0,-91.35648,37.154194,b'       07066000'
7524421,7524427,b'       07067000',672.0,-91.01278,36.991337,b'       07067000'
7523285,7523291,b'       07068000',2298.0,-90.850525,36.626442,b'       07068000'
7572703,7571985,b'       07071500',2964.0,-91.20102,36.64076,b'       07071500'
916821,916533,b'       07083000',9021.0,-106.38659,39.17761,b'       07083000'
21195628,21195266,b'       07142300',24536.0,-98.89937,37.867916,b'       07142300'
21166753,21166239,b'       07145700',1852.0,-97.40194,37.24636,b'       07145700'
21028210,21028040,b'       07148400',5379.0,-98.64025,36.81589,b'       07148400'
21014649,21014035,b'       07149000',2748.0,-98.46316,37.039165,b'       07149000'
20987715,20986743,b'       07151500',2958.0,-97.60386,37.12953,b'       07151500'
21517052,21517040,b'       07167500',1718.0,-96.222565,37.709602,b'       07167500'
20920709,20920711,b'       07180500',800.0,-96.82205,38.198643,b'       07180500'
20874950,20876000,b'       07184000',1704.0,-95.02828,37.27787,b'       07184000'
399452,397456,b'       07195800',1581.0,-94.431114,36.2593,b'       07195800'
400822,400816,b'       07196900',975.0,-94.48353,35.8791,b'       07196900'
400496,400540,b'       07197000',3622.0,-94.835625,35.924282,b'       07197000'
20060156,20059876,b'       07208500',4918.0,-104.975044,36.372726,b'       07208500'
20026105,20026253,b'       07226500',2161.0,-103.519226,35.440693,b'       07226500'
7817394,7817414,b'       07261000',12226.0,-92.420586,35.309383,b'       07261000'
