link,to,gages,Length,lon,lat,gagestr
20572245,20573331,b'       09386900',3741.0,-108.547585,35.284676,b'       09386900'
10025746,10025778,b'       09404450',1283.0,-112.60232,37.33416,b'       09404450'
2430698,2430758,b'       09430500',6344.0,-108.53323,33.065693,b'       09430500'
2430436,2430544,b'       09430600',740.0,-108.65064,33.16859,b'       09430600'
21327929,21327961,b'       09447800',2350.0,-109.530754,32.95485,b'       09447800'
15907963,15907989,b'       09480000',3735.0,-110.590256,31.3529,b'       09480000'
15893872,15893894,b'       09484000',2045.0,-110.81135,32.31471,b'       09484000'
15894416,15894414,b'       09484600',1428.0,-110.673065,32.032696,b'       09484600'
20488086,20488072,b'       09492400',629.0,-109.81489,33.820763,b'       09492400'
20487236,20487062,b'       09494000',1258.0,-110.166695,33.73553,b'       09494000'
22440644,22440648,b'       09497800',1102.0,-110.55731,33.842045,b'       09497800'
22440682,22440714,b'       09497980',1221.0,-110.85885,33.83028,b'       09497980'
20454544,20454582,b'       09505200',2562.0,-111.67323,34.675373,b'       09505200'
20454522,20453830,b'       09505350',2279.0,-111.778725,34.72146,b'       09505350'
20435246,20435308,b'       09505800',1126.0,-111.693115,34.538418,b'       09505800'
20437386,20438374,b'       09508300',13627.0,-111.65891,34.177067,b'       09508300'
20440676,20439860,b'       09510200',1351.0,-111.54656,33.69355,b'       09510200'
20476698,20476708,b'       09512280',1780.0,-111.95733,33.88472,b'       09512280'
20415812,20415896,b'       09513780',9631.0,-112.112366,33.96883,b'       09513780'
7880800,7879518,b'       10023000',5842.0,-111.23836,41.61833,b'       10023000'
10327201,10327559,b'       10166430',287.0,-112.10136,40.4062,b'       10166430'
10396937,10396901,b'       10172700',3276.0,-112.381805,39.98298,b'       10172700'
10395905,10395697,b'       10172800',6854.0,-112.596504,40.49095,b'       10172800'
10818086,10819236,b'       10173450',4107.0,-112.52719,37.615143,b'       10173450'
3506561,3505807,b'       10205030',5297.0,-111.53617,38.892483,b'       10205030'
1215135,1215111,b'       10234500',1663.0,-112.5671,38.280396,b'       10234500'
14597053,14597039,b'       10242000',2406.0,-113.04064,37.67102,b'       10242000'
