basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag,neg_basin_flag
01052500,0.005529097159749083,-20.58014144845949,0.04428670220169166,0.0006597246785828699,0.025685106162577367,0.024641051381663292,-0.3954311396200745,0.18517696743984793,True,True
01137500,0.004347148202928372,-20.32441547791685,0.04479400596128453,0.00040298235302810515,0.020074420365930996,0.014500910413818246,-2.2637938244700093,0.032562815767190396,True,True
01142500,0.00951460930534526,-5.944800119011528,0.1258684907134476,0.0006286974083865072,0.025073839123407233,0.012404734468478264,-1.021205497477509,0.20281902832660623,True,True
01162500,0.004935320105368157,-13.77326241453242,0.06339842536815132,0.00035983803357730665,0.018969397290828895,0.009582068432393787,-1.976564508965522,0.1427813382255295,True,True
01333000,0.0,,,0.0003352284451630681,0.018309244800457175,0.017764064917084797,,,True,False
01423000,0.009235017092979738,-3.7291773349344126,0.17454512952538026,0.00040333044611214026,0.02008308856008309,0.017605873744702755,-5.163925014180229,-0.3902724199708889,True,True
01487000,0.007744244094171833,-7.396073643055788,0.10642743320121321,0.0005035403827089076,0.02243970549514649,0.013247839074435257,-0.8875420100197595,0.28352658378728574,True,True
01543500,0.005835246912906666,-0.8180082490597955,0.3548605652001343,6.190337456124361e-05,0.00786786976005854,0.0034245921977025507,-9.727481113440781,-0.0561379018030544,True,True
01583500,0.005032018301648334,-3.0741878802216807,0.19707587176616567,0.00010316335951262392,0.010156936522033793,0.008059186685665392,-4.925524586027691,0.11220300012635226,True,True
02014000,0.0033015033658087356,-7.330226619992665,0.10717853281904381,9.079884101294304e-05,0.009528842585169672,0.004012481071363677,-16.053908851848078,0.37848615441634287,True,True
02028500,0.005034801536083896,-4.92596835463597,0.14438414223054305,0.00015021871409944213,0.012256374427188577,0.01051947847299971,-0.44189724968023025,0.16973789394445624,True,True
02070000,0.0049530832015809365,-5.125959255967151,0.14033198395887794,0.0001502883618194136,0.012259215383515112,0.005148879964276469,-0.6749523120965686,0.08497467737878427,True,True
02081500,0.0,,,6.64341757368939e-05,0.00815071627140179,0.007241419698315036,,,True,False
02082950,0.003727685067306706,-12.013197301417325,0.07136130167087977,0.00018082665238944122,0.013447180090615327,0.006299375372648248,-4.460770504188358,0.4820882643804036,True,True
02102908,0.0,,,4.939676268514636e-05,0.007028283053857916,0.005553392385144019,,,True,False
02137727,0.0045840264618829335,-13.549458032779192,0.06431092311332909,0.00030573210615814116,0.017485196772073833,0.009087094510885118,-1.7808571173156817,0.15560303610504678,True,True
02196000,0.009450526189242596,-8.022447957512442,0.09977602320702882,0.000805816889258426,0.028386914049583233,0.0157467880050687,-10.742690075630568,0.5594106046786542,True,True
02215100,0.00012339559492717227,-2240.5438969885627,0.0004459221517772145,3.4130807283820535e-05,0.005842157759237638,0.003097013673197294,-4459.979204111848,0.2628077330571799,True,True
02349900,0.004207755264199937,-9.305375408953822,0.0884534979004769,0.00018245877765710777,0.013507730292580903,0.005384233190868686,-44.328092587992735,0.07193181894533977,True,True
02481000,0.0015017901608579578,-81.10721988069551,0.012032648925515125,0.00018518246325215196,0.013608176338222252,0.002971088900630102,-9.275666012422077,0.3625311358047958,True,True
03028000,0.0009403486561162638,-84.93262701049726,0.011503160946456252,7.598640623220734e-05,0.008717018196161308,0.006221480071466976,-356.84894555651755,0.007728258402761484,True,True
03076600,0.006280899892828957,-3.4027470468585355,0.18509102708805455,0.00017368706542442093,0.013179038865729964,0.011285664588990805,-0.39806071853225,0.15049161732288882,True,True
03488000,0.006528221393032137,-0.3057214007929705,0.4337037422023692,5.564680972037699e-05,0.007459678928772805,0.0043889384008158104,0.33452194897567655,0.3357902353639915,True,True
05056000,0.0,,,1.3751959188050599e-05,0.0037083634110009495,0.0020063178114260987,,,True,False
05120500,0.0,,,0.00015774930210279102,0.012559828904200527,0.012515407487660732,,,True,False
05129115,0.0,,,3.012980749418143e-05,0.005489062533273002,0.0025173188234512652,,,True,False
06188000,0.005906711253480987,-3.202457744324512,0.19221684233589872,0.00014662054772066367,0.012108697193367405,0.009964513754422392,-6.488590241582311,-0.2800867277646306,True,True
06280300,0.005946737507728681,0.19562497462451744,0.5542085131620044,2.8445666616595308e-05,0.005333447910741728,0.003168254319122572,0.1499908574304717,0.6499697117597161,True,False
06350000,0.0026210462035375836,-6.564677472217244,0.11675862906033256,5.196845068796433e-05,0.0072089146678237445,0.0045127032600389295,-105.13752260395913,0.10595077407089809,True,True
06352000,0.000952774531365796,-64.13736736213299,0.015120045443062962,5.9130354244141865e-05,0.007689626404718364,0.001876963115521454,-51.88705948000744,0.03416583813948319,True,True
06404000,0.00016282937064242124,-373.864850890765,0.002660530766923516,9.93894321600183e-06,0.003152608953866913,0.0011825428614314938,-1388.446132286546,0.0015396551482513303,True,True
06847900,0.0,,,0.00013754963428147936,0.0117281556214726,0.0037779830702989415,,,True,False
06903400,0.006076024658224148,-2.7853365837434896,0.20897171651355745,0.00013974734234931552,0.01182147801035537,0.009515468335055361,-23.071734794987595,0.2146209070195808,True,True
07142300,0.00034536379808000877,-33663.81342918371,2.970372309890885e-05,0.004015409438112111,0.06336725840773065,0.012001080404942684,-1154.9156569813572,0.12687878794679158,True,True
08269000,0.006087915548185234,-4.509817766461262,0.15361413112852776,0.0002042088095574725,0.014290164784125916,0.012332854247323107,-7.045409001930743,0.05432777882373221,True,True
08324000,0.002513507214792353,-8.085767189083526,0.09914962156595923,5.740131962809845e-05,0.007576365858912732,0.006720977130736539,-23.77015903302202,0.13613387150246245,True,True
09210500,0.009524821233110853,-0.3525340591964614,0.4250735482833192,0.00012270489183037605,0.011077224012828126,0.007882361410727935,-0.10359159251430716,0.2544728680710587,True,True
09312600,0.006971621263071909,-5.669128696912017,0.1303929089627419,0.0003241430168659463,0.01800397225242103,0.013881502815264726,-7.332260419543683,0.20837851482669176,True,True
09386900,0.004050745198389212,-56.611665233266116,0.017061450071758612,0.0009453231211546607,0.030746107414673825,0.024618684011187702,-19.707571322676937,0.09202586377598859,True,True
09484600,0.0,,,6.876524380950442e-05,0.008292481161239042,0.005120445614700551,,,True,False
09494000,0.00020756216368385806,-64314.882702995405,1.5548017223064626e-05,0.00277086018973098,0.052638960758462736,0.02838205824989561,-15965.32835801316,0.054118447550458436,True,True
09497800,0.00943719216212253,-270.5019835513801,0.0036696980585884456,0.024180128444428423,0.1554996091455809,0.10472141888700397,-46.15124074451708,0.3667041054218113,True,True
09505200,0.0013305145759303586,-137.5208922376395,0.007167385356859289,0.00024521924647309706,0.015659477848034942,0.010957594090043054,-596.537549361263,0.11952912506557946,True,True
10329500,0.006413339067264353,-0.04974915973973548,0.48786457369592184,4.31771466011102e-05,0.006570931943119651,0.004697982815642748,-1.1522868010455212,0.443424124882352,True,True
11151300,0.0,,,0.0010369166928059722,0.03220119086005939,0.008872195748513997,,,True,False
11224500,0.009735148120819529,-11.63389955537951,0.07334658700822182,0.001197353938826936,0.03460280247070945,0.009262775075828714,-50.88876086415773,0.2856761641388223,True,True
12082500,0.009837534564894976,0.007655748789755501,0.5019212916605915,9.603618525406743e-05,0.00979980536817275,0.00771698726386436,0.43527927553326173,0.4522735469679845,True,False
13011500,0.004590278353971934,-5.04832183483507,0.1418777438705592,0.00012744210493016782,0.01128902586276459,0.009492486899412131,-5.976651651467621,-0.24773790736097653,True,True
13235000,0.005975593188112193,0.07555224806178606,0.519629591914276,3.300991588775729e-05,0.005745425648962597,0.005018593878882112,0.1688472868135501,0.39015835180770314,True,False
13310700,0.008021663299016652,0.4422928419098261,0.6419691883717409,3.588682827978836e-05,0.005990561599699009,0.005035247782850626,0.340931444776161,0.7505005184847757,True,False
14096850,0.005259250046366848,-1.1050371476456489,0.32205733859198304,5.822471925383624e-05,0.007630512384750859,0.005483302759850805,-3.016587934695443,0.05592656163484007,True,True
