metric,test_mean,test_median,test_count,val_mean,val_median,val_count
NSE,-inf,0.199051,566,-inf,0.219421,566
NNSE,0.543059,0.556372,560,0.535438,0.563633,559
MSE,130.21,0.0411815,566,173.426,0.0365498,566
RMSE,3.41221,0.20293,566,3.55608,0.19118,566
MAE,1.40539,0.0711931,566,1.41281,0.0663265,566
KGE,-1.17364,0.0824564,560,-50.1847,0.140796,559
Pearson-r,0.553067,0.606912,560,0.535881,0.59117,559
