gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
03050000,0.7113231331495512,678.15,1,0.06,0.03689,0,0.12,2.6811297,8.043389,0.7552751,1.6086779,-79.8868,38.77551,0.0001367697880061,0.0800752465785819,0.0249226521764687,0.7106515781700532,592.53,4,0.055,1e-05,0,0.11,20.13588,60.40764,0.31030428,12.081528,-79.884575,38.816257,0.000326602526069,0.1260908817285844,0.0118704746389021
05489000,0.4834950360638857,247.94,1,0.06,0.01381,0,0.12,3.6368787,10.910636,0.6602198,2.1821272,-92.91534,41.179604,0.0003471037752372,0.1071644294745152,0.0202461983386416,0.482466691350747,211.65,5,0.05,0.00036,0,0.1,25.277536,75.83261,0.2806825,15.166522,-92.9146,41.2297,0.0003384779669182,0.1049164780863814,0.0338379869694229
01485500,0.0162787957327056,12.34,1,0.06,0.00041,0,0.12,4.064793,12.194379,0.6286016,2.438876,-75.45599,38.308823,0.0004621569062096,0.1854316335393822,0.0395272142289706,0.0125956050515266,3.61,2,0.06,0.00089,0,0.12,12.924055,38.772167,0.37735134,7.754433,-75.47132,38.222595,1.2222346488165397e-05,0.0170636166208256,0.0043430123334097
02069700,0.0752996305253164,363.26,1,0.06,0.01556,0,0.12,4.5718384,13.715515,0.59683233,2.743103,-80.179665,36.622078,0.0004755416405716,0.1341664553746056,0.0387463687331337,0.0735082258433707,248.93,4,0.055,0.00384,0,0.11,16.575048,50.0,0.33812255,9.945029,-80.10083,36.568596,5.871229576041598e-05,0.0454343548740576,0.0096633465861656
02212600,0.1079196248461484,118.84,3,0.055,0.00549,0,0.11,9.848362,30.0,0.42542213,5.909017,-83.71282,33.13279,3.39162601677449e-06,0.0096920011006089,0.0017086785415189,0.1072451982515574,111.75,4,0.055,0.00058,0,0.11,14.714346,50.0,0.3563601,8.828608,-83.7258,33.079548,0.0005063385421218,0.1489311174242514,0.0358627997791329
02215100,0.0878621632962463,92.98,1,0.06,0.00716,0,0.12,3.2133245,9.639974,0.69728845,1.9279947,-83.52282,32.197205,0.0002149287521173,0.0839449237325171,0.0145066766782369,0.0871996222302458,65.18,5,0.05,1e-05,0,0.1,21.135683,70.0,0.30374062,12.68141,-83.49518,32.231167,3.521738578073611e-05,0.0296090076603918,0.00700285023403
02216180,0.0572362035871852,55.41,4,0.055,0.00134,0,0.11,12.397509,50.0,0.38433993,7.438505,-82.939255,32.00128,1.778033849219894e-05,0.0289763034079789,0.0035265217221545,0.0568785830041487,53.88,4,0.055,0.0016,0,0.11,12.803164,50.0,0.37891915,7.681898,-82.91328,31.989832,0.0001304655970191,0.0816107673177697,0.0110008193898485
02349900,0.1482034493754729,109.66,1,0.06,0.009,0,0.12,2.5858512,7.7575536,0.7674285,1.5515107,-83.86584,32.218327,0.0001134699386586,0.0601425311491477,0.0196846770827336,0.1471742849699811,85.42,3,0.055,0.00077,0,0.11,13.194606,39.583817,0.373918,7.916764,-83.913414,32.17376,0.0002801158265698,0.114070704040916,0.0145478051652199
02013000,0.0898982005838018,479.35,2,0.06,0.01357,0,0.12,7.4952316,22.485695,0.47988185,4.497139,-80.078224,37.8292,0.000436595702619,0.1741113202144611,0.0449118326030565,0.0883343276588822,378.95,4,0.055,1e-05,0,0.11,19.22676,57.680283,0.31669393,11.5360565,-80.006714,37.803455,0.0001376495297747,0.0687434488166221,0.0193281683569797
02070000,0.0724003110851128,240.56,3,0.055,0.00237,0,0.11,9.855272,30.0,0.4252905,5.913163,-79.990906,36.59297,4.73114518418365e-05,0.03680177208965,0.0099788342151297,0.071728950006682,224.28,4,0.055,0.00361,0,0.11,16.664122,50.0,0.337324,9.998473,-79.991905,36.548985,0.000425150987998,0.1389646056497311,0.0338163139893228
02350900,0.1357953361356987,86.33,1,0.06,0.00663,0,0.12,2.7106602,8.131981,0.75163394,1.6263961,-84.30172,31.782885,0.0001078071112225,0.0882799921854722,0.0150117910788816,0.135157842490731,66.7,5,0.05,4e-05,0,0.1,28.888968,86.6669,0.26462343,17.333382,-84.25073,31.754372,9.560829221847636e-05,0.057295070758327,0.0186925176900757
02381600,0.1636657727857785,628.08,1,0.06,0.06626,0,0.12,3.2155108,9.646532,0.69707924,1.9293064,-84.410614,34.54746,0.0002211560238727,0.0840685441370703,0.0182037201914477,0.1625846026674605,401.85,3,0.055,0.01236,0,0.11,7.590331,30.0,0.47721994,4.5541987,-84.47716,34.570377,0.0001945098509041,0.0896475245302612,0.0263752543796349
02395120,0.1520457008867689,234.7,1,0.06,0.00397,0,0.12,3.6230657,10.869197,0.6613291,2.1738393,-84.8548,34.251026,0.0003130497313451,0.1115352420285814,0.0314682199910238,0.1510075437231448,221.19,4,0.055,0.00122,0,0.11,11.560704,50.0,0.39637408,6.9364223,-84.90272,34.239937,0.0003620516935255,0.1218726311826601,0.0241872602838434
01055000,0.0530603943724662,296.41,3,0.055,0.00938,0,0.11,14.562306,43.68692,0.3579968,8.737384,-70.632515,44.721928,0.0027204400025408,0.3480709878789173,0.0773535282380567,0.0474897373375438,182.55,3,0.055,0.00441,0,0.11,16.395006,49.18502,0.33975568,9.837004,-70.58196,44.619816,0.001660845251529,0.2372482378281405,0.0368971004301103
02096846,0.0493850732136846,168.53,2,0.06,0.0034,0,0.12,5.9704986,17.911495,0.53053164,3.5822992,-79.21435,35.995037,0.0002051816621882,0.0854363686761935,0.0106628866095182,0.0491314106229282,155.77,3,0.055,0.00224,0,0.11,8.280364,30.0,0.4592478,4.968219,-79.20355,35.979527,0.0001877903832648,0.0782438884971629,0.0152391571127526
11480390,0.0249363425258961,1647.71,1,0.06,0.24164,0,0.12,3.5498927,10.649678,0.66730887,2.1299355,-123.310234,40.28061,0.0003189968528644,0.1133481335744841,0.0406813297736006,0.0245066920187491,819.75,4,0.055,0.00184,0,0.11,15.967137,50.0,0.34374267,9.580282,-123.34158,40.295387,0.0005448285181762,0.1694907035242625,0.0180996963983058
06847900,0.6027475998321634,717.38,4,0.055,0.00133,0,0.11,29.293646,87.880936,0.2630044,17.576187,-100.116356,39.760403,3.774250804067511e-05,0.0525126826403146,0.0081588715369658,0.6022350608781994,710.36,4,0.055,0.00079,0,0.11,29.640604,88.921814,0.2616417,17.784363,-100.084305,39.76754,7.663229266367514e-05,0.0547321822822926,0.0180451204388757
01057000,0.0350252839323544,276.4,1,0.06,0.03714,0,0.12,3.5357745,10.607324,0.6684831,2.1214647,-70.5034,44.38306,0.0003362280598031,0.1309466639747357,0.0233011426337706,0.0292953449458364,116.24,3,0.055,0.0028,0,0.11,14.83252,44.49756,0.3551047,8.899511,-70.52847,44.279106,0.0003881196399006,0.1419492975951247,0.0282566360776016
04059500,0.2613364011921643,261.05,1,0.06,0.00293,0,0.12,7.116723,21.350168,0.49097908,4.270034,-87.25365,45.892246,0.0023129087014404,0.3566990388892366,0.0857207384847535,0.2520822580356956,198.28,4,0.055,0.00276,0,0.11,27.103983,81.31194,0.2721751,16.26239,-87.172104,45.714657,0.0008221778866889,0.1830355996372697,0.0646767224365387
01666500,0.0435379615878519,120.88,2,0.06,0.00206,0,0.12,8.385781,25.157345,0.4566918,5.031469,-78.11226,38.413467,0.0001343297543667,0.0713156744674222,0.0164944864739607,0.0403069226941746,86.89,4,0.055,0.00034,0,0.11,20.225607,60.676823,0.3096962,12.135365,-78.09954,38.31118,6.266988868770065e-05,0.049074287605526,0.0124592975043387
02056900,0.0778461134889135,308.79,3,0.055,0.00251,0,0.11,10.08941,30.268229,0.42090777,6.0536456,-79.90066,37.054665,0.0002514717348469,0.1060474875824971,0.0251818333378685,0.0759889361573626,267.35,4,0.055,0.00417,0,0.11,16.991924,50.975773,0.3344374,10.195155,-79.83483,37.033524,2.3424687569940143e-05,0.027313693332651,0.0047570400251535
03026500,0.70270966206799,655.95,1,0.06,0.0264,0,0.12,3.0925884,9.277765,0.7091699,1.855553,-78.61786,41.67953,0.0002171231190394,0.082569086920459,0.0151827878277524,0.7015915751555767,515.24,3,0.055,0.00677,0,0.11,8.376527,30.0,0.45691434,5.0259166,-78.57371,41.629436,2.1976508784589283e-05,0.0274719744424917,0.0042766772336224
02046000,0.0376120768607676,61.74,1,0.06,0.00627,0,0.12,3.7633078,11.289924,0.6503409,2.2579846,-77.62555,37.04571,0.0001221532976875,0.075502800816712,0.0052694946222271,0.037119312081368,39.2,4,0.055,0.00102,0,0.11,17.051777,51.15533,0.333919,10.231066,-77.5923,37.060562,1.0759218418553648e-05,0.0166457333813086,0.0039748295780948
03028000,0.7002385927070495,601.27,1,0.06,0.06814,0,0.12,2.6135783,7.840735,0.76382595,1.568147,-78.72003,41.604794,0.000132204184675,0.0679025383920562,0.0195492419467423,0.6993470917505084,454.31,4,0.055,0.00209,0,0.11,14.1968975,50.0,0.3620331,8.518139,-78.68385,41.54638,0.0002679663629659,0.1036120054069272,0.0302125692843526
