basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag,neg_basin_flag
01078000,0.004984973625852713,-40.37008786090598,0.023601555967569274,0.0010280451133671778,0.03206314259967631,0.02918392000392231,-5.592602040442985,0.17751175491851778,True,True
01170100,0.007362651243276811,-2.970524467289315,0.20118601298131258,0.00021523670497557862,0.014670947650904443,0.010965908014131725,-0.05590560498144437,0.2684384905551234,True,True
01195100,0.009691993439698808,-2.3523474103702084,0.22976107045529723,0.0003149018717731715,0.01774547468435746,0.01542259632748864,-21.788187249764995,-0.07502919724727009,True,True
02014000,0.004141553396481093,-12.387081248687943,0.06950680146407019,0.00022962143635738645,0.015153264874520818,0.013101121178200259,-5.698672322525392,0.15560835826152378,True,True
02374500,0.006482397681806576,-2.1942715308000693,0.23842042477618208,0.00013422801630406592,0.011585681520914767,0.009833877133863309,-0.0975024506573623,0.3528922238156016,True,True
04063700,0.006272409328713661,-3.8230520460623305,0.17173124885191793,0.0001897539095637961,0.013775119221400449,0.01160415746844433,-1.8987295064701488,-0.04801084110363929,True,True
06280300,0.0036999121645165537,-35.03233530679259,0.027003427996521105,0.0004932592502378064,0.022209440565619982,0.021784433940279596,-12.435665959317967,0.03556469495488178,True,True
06339500,0.009292393223263444,-2.1956324936233873,0.2383430868932924,0.00027593830187239095,0.016611390726618616,0.014013619225007157,-16.140638223557943,0.05563549314707626,True,True
07184000,0.00034239513203574974,-5549.339286764972,0.0001801367108625687,0.0006506908428411614,0.02550864251270854,0.02315564985259113,-3383.789416135405,0.3052237234540652,True,True
07292500,0.003339854037426359,-34.70442729608345,0.027244669748782733,0.0003982694970174159,0.019956690532686422,0.018850624235092057,-13.787316350687336,0.050859912257577036,True,True
08380500,0.0016336335265879698,-173.32565203766833,0.0057036719292231815,0.00046523306550275763,0.021569262052809263,0.020934110209561606,-2505.643019193063,0.009169310436332397,True,True
10242000,0.005706232876400874,-48.64545533617273,0.01974510828982054,0.0016165103199875677,0.04020584932553431,0.03807533268105838,-52.74665043428407,0.15816799798035433,True,True
10259200,0.0018813203329935174,-226.98695822697155,0.004367060935447692,0.0008069293329257592,0.028406501596038875,0.027362958835629645,-2022.9341290989623,0.3084384631963315,True,True
11151300,0.0005806752936372034,-1250.4379569197336,0.0007984427447882659,0.0004219646015744171,0.020541776981907314,0.020089077304389923,-3608.1275026586527,0.07036304049094447,True,True
11274500,0.008167022148338855,-5.291686001947546,0.1371424934827019,0.0004196570341051694,0.020485532311979825,0.01970326731936336,-18.376085542700835,0.34554766793454095,True,True
12374250,0.009862101953813695,-2.278669616393051,0.2337175079301886,0.00031888686571442755,0.017857403666670796,0.015094415381516395,-0.6872353149039827,0.46119489937643227,True,True
