downstream,upstream,gage
23838192,23838212,12041200
23838566,23838624,12043000
23844953,23845185,12040500
23850369,23850689,12025000
23850453,23851943,12020000
23850771,23851625,12025700
23856725,23857477,12035000
23864402,23864422,12010000
23864614,23864704,12013500
23871877,23872805,14301000
23880872,23880906,14305500
23886296,23886316,14306500
23894204,23895618,14316700
23901145,23903489,14309500
23901307,23902849,14308990
23914565,23914585,14325000
23949599,23949619,14400000
23970213,23971489,12145500
23970269,23970289,12144000
23970287,23971625,12143600
23970361,23970409,12141300
23970777,23970797,12147500
23980477,23982241,12092000
23980613,23981773,12095000
23997386,23997406,12048000
24013583,24014449,10396000
24158503,24159939,13235000
24241687,24243457,14222500
24243661,24242705,14216500
24249032,24249052,14236200
24255217,24255237,12175500
24264761,24265537,12189500
24264873,24265787,12186000
24274651,24274777,12167000
24282120,24282786,12082500
24285532,24285552,12056500
24287054,24287088,12054000
2430544,2431092,09430600
2430758,2430498,09430500
24356089,24360513,12381400
24356263,24356283,12377150
24373012,24373090,12411000
24385053,24384641,12447390
24422911,24424009,12488500
24432171,24433665,13023000
24537922,947110257,12117000
24537994,24538576,12115000
2507373,2509985,05514500
2580519,2579693,08101000
2602683,2602497,01539000
2613590,2613606,01423000
2663781,2663809,11468500
2678276,2677060,01022500
2705485,2705575,11478500
272607,271939,04057510
2806777,2806881,11176400
2821816,16594699,11274630
2828006,16595089,11274500
2927219,2925991,05501000
2965686,2962784,06188000
3060252,3059118,06037500
3133679,3132195,07315700
3192080,3191978,09223000
3247614,3247480,01350000
3322000,3323184,01047000
348427,344397,11299600
3505807,3503033,10205030
3539113,3538721,06876700
3586214,3586200,08165300
3643704,3644064,06888500
3645672,3645440,06889200
3646108,3646016,06889500
3729091,3728861,06892000
3746098,3745580,07340300
3773675,3773673,03070500
3775049,3775619,03066000
3775989,3776051,03069500
3808327,3808833,03078000
3808413,3808473,03076600
3855285,3856579,06043500
3906369,3906305,09312600
3930874,3930848,03241500
400540,399978,07197000
400816,400930,07196900
4084458,4085632,05291000
4148030,4147368,01435000
4153184,4153826,01439500
4153230,4153604,01440400
4198118,4198816,01532000
435122,435464,03213700
4352686,4352746,03050000
4369874,2962660,06191500
4505596,4505636,01638480
4506920,4508546,01644000
4546478,4546368,03187500
4547808,4546008,03186500
4571719,4570553,01134500
4573975,4573787,01139000
4594215,4594197,01137500
4599975,4599901,04296000
4710634,4711882,01568000
4725927,4726657,01580000
4867203,4868389,05508805
4869695,4869255,05507600
487958,487776,03280700
4994035,4994115,05489000
4995867,4996481,05488200
504706,504576,03281100
505374,503908,03281500
5054201,5053543,07014500
5124322,5120866,06903400
5290223,5288801,08189500
5481755,5481905,06431500
5524989,5525121,08086212
5525977,5526049,08086290
5570383,5570303,08109700
5587882,5587872,08103900
5640212,5641352,05503800
5670913,5670147,08104900
5769819,5770161,08150800
5781269,5780035,08155200
5781483,5780065,08158700
5801078,5800714,05495000
5802222,5801986,05495500
588176,587494,07335700
6083557,6082817,01142500
6084639,6084615,01144000
6087,3905,01030500
6096301,6096265,01181000
6105975,6107033,01187300
6269292,6269284,02178400
6269358,6267976,02177000
6289477,6290039,02193340
6335992,6336388,02212600
6364346,6365608,02215100
6383979,6381451,02216180
6442684,6442208,02349900
6460665,6460195,02350900
6497222,6496836,02395120
6710025,6710195,01055000
6712535,6713179,01054200
6844139,6844161,04063700
6859808,6859728,04059500
6873861,6873507,03028000
6884216,6885122,03170000
6886648,6886926,03165000
6887560,6890370,03164000
6892186,6892216,03161000
6908085,6908297,03173000
6960301,6959929,05466500
7016407,7016273,05458000
7026409,7026337,05062500
7069741,7069739,05087500
7139936,7139048,05129115
7171118,7172026,05131500
724684,724176,01013500
7359833,7359519,06917000
7371499,7371525,06919500
7374533,7374915,06918460
7387709,7387907,06921200
7388007,7388161,06921070
7518821,7519331,07066000
7523291,7522217,07068000
7524427,7523841,07067000
7571985,7571771,07071500
7651759,7650809,07057500
7817414,7816906,07261000
7842829,7841921,08164000
7846067,7845057,08164300
7875850,7875168,08190500
788956,789184,02369800
8005997,8005715,11451100
8127533,8126369,01543000
8127607,8126885,01543500
8139752,8139858,01547700
8145130,8144426,01549500
8151187,8150633,01552000
8152831,8150467,01550000
8188957,8189793,11143000
8203187,8206161,11151300
8209965,8210561,11148900
8233476,8232560,11528700
8242340,8242104,11523200
8258809,8257729,11522500
8284784,8284890,11476600
8287574,8287680,11475560
8295203,8295233,11473900
8315605,8315553,11482500
8315833,8316389,11481200
8320013,8320065,11480390
8330480,8329288,08029500
8336286,8328128,08025500
8364342,8364192,06847900
8392902,8391174,01487000
8420976,8421766,01606500
8422706,8423212,01605500
8440247,8440195,01634500
8441035,8441507,01632000
8449084,8448656,01639500
8457990,8456808,01669520
8465329,8465121,01664000
8467197,8468639,01667500
8468565,8468355,01666500
8479560,8478244,01669000
8520543,8520465,02015700
8522117,8522211,02016000
8522503,8522655,02018000
8524283,8524417,02013000
8524487,8524579,02014000
8525401,8525377,02017500
8544833,8547649,02028500
8546073,8545159,02027000
8548821,8548675,02027500
8625791,8627973,02059500
8626867,8626659,02056900
8628719,8628929,02053800
8648006,8649380,02064000
8648280,8647928,02065500
8673171,8672323,02070000
8673537,8672613,02074500
8675135,8674865,02069700
8718809,8718529,02046000
8741019,8741289,02051500
8743361,8738173,02051000
8746119,8745891,02053200
8759151,8761411,02081500
8849829,8851109,02102908
8895542,8890946,02096846
8971062,8971384,03010655
8973360,8973474,03011800
8975276,8975416,03015500
8991864,8991328,04122500
8994318,8991744,04122200
9027877,9027857,04074950
9049609,9049145,03021350
916533,916451,07083000
9211186,9210148,02128000
9234691,9233379,02118500
9250818,9250540,02111500
9251300,9251076,02111180
933140016,2413698,02374500
9343747,9343269,01162500
9349291,9348437,08164600
9370706,9370556,06479215
9370976,9370788,06479438
9407516,9406530,01491000
9420705,9420517,01510000
942110019,7869285,08190000
9436439,9436641,01411300
9745076,9745158,02143000
9752546,9751874,02140991
9754772,9754850,02137727
9841444,9841662,04213075
9841714,9841890,04213000
9944150,9944768,02202600
9978337,9978289,02198100
