basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag,neg_basin_flag
01031500,0.006330224412138184,-2.6734558566610738,0.21397441864668534,0.00014720177205989991,0.012132673739118674,0.00773662683312517,-73.48877143189067,-0.1120656428749373,True,True
01606500,0.007200082727531609,-0.9881472755811225,0.3346555265772582,0.00010306792321277077,0.010152237350100261,0.008520298252002559,-0.038899417925626345,0.5759058595892934,True,True
02108000,0.00175451398384087,-29.519030207715993,0.03172686448186454,9.39473203006075e-05,0.009692642586034394,0.003921124551145242,-65.19872532900575,-0.5477376484895397,True,True
02196000,0.002526426659528775,-6.132457961186762,0.12296405401326795,4.552527853091778e-05,0.0067472422908116895,0.0052093220438365565,-88.37208889987367,0.033195741230469054,True,True
02363000,0.009814071658810536,-0.7186706902512423,0.36782682197805516,0.00016553549054062442,0.012866059635359398,0.004895948026992394,-0.30535553510669455,0.10112362073995669,True,True
03182500,0.0006067921249548574,-231.7445983725131,0.004278173728773506,8.569578908533512e-05,0.00925720201169528,0.0024782986836734957,-61.537742403504495,0.20075640138662063,True,True
03498500,0.00852526150752396,-1.509378106383339,0.2849507718136905,0.00018238181098673492,0.013504881006019081,0.005374187250675744,-0.07925131475607139,0.6392443565293773,True,True
05123400,0.00017121020085282846,-456.5939413360167,0.002180578306566177,1.3413420486877078e-05,0.00366243368361491,0.0023458989272522744,-779.9622588088116,0.05374349923857982,True,True
05131500,0.009056601861701196,0.3193187392429262,0.5949968166775083,5.5830863746546345e-05,0.0074720053363569235,0.004475217588306064,0.4138013954574796,0.5912650256686888,True,False
06043500,0.004894200774749453,-0.1072363758142072,0.4745552095994042,2.6521855711920958e-05,0.00514993744737943,0.0044500311821551565,0.040404220973519034,0.38125630073327454,True,True
06353000,0.00773015003608251,-1.2930463199103461,0.3036701895001663,0.00013702148635414806,0.011705617726294843,0.009718815927389608,-16.51827734566724,0.33906779932161035,True,True
06440200,0.009659912587913924,0.2371377164223637,0.567259285830628,7.118566339227512e-05,0.008437159675641745,0.0044221197528502955,-4.610067012807847,0.6707889170919659,True,False
06847900,0.0009887465461460839,-3.7400851053022004,0.17421344486273999,4.63400073274771e-06,0.0021526729274898475,0.0014036459353707548,-101.88755501235448,0.017638438411952173,True,True
07142300,0.00045849551296441683,-151.44164364090537,0.006517135611113945,3.204599808479872e-05,0.005660918484203665,0.0027920827177733386,-135.96544287675084,0.047242596894566065,True,True
07226500,0.005182413668802251,-0.03555441828399597,0.49126665001813874,2.7812311074759143e-05,0.005273737865571168,0.0014187374630647307,-12.334308261103345,0.15630139586329647,True,True
09497800,0.00011415149775936951,-1390.7659083559709,0.0007179957478858784,1.8135495355212068e-05,0.004258579030053577,0.004060151120990026,-6229.654983512232,0.03965487649128596,True,True
12411000,0.0058086204847939815,0.05384261576262772,0.5138330579527428,3.192341820729497e-05,0.0056500812566984355,0.004557924123738778,0.4254204966277356,0.45429353473815903,True,False
13338500,0.004985439065730659,-1.8140726106470346,0.2621869329934849,6.994265664499332e-05,0.008363172642304673,0.0066779370120439606,-0.114882116114841,0.3319453960188073,True,True
