downstream,upstream,gage
21677018,21676672,02422500
23286987,23287043,13161500
23588128,23589008,13337000
23997386,23997594,12048000
24158503,24159393,13235000
21860182,21859968,06352000
21861200,21861510,06353000
23970777,23971011,12147500
2188061,2189731,02361000
21919751,21919715,07362587
23735989,23735999,14141500
23850453,23851873,12020000
21954826,21955400,07362100
23980477,23980497,12092000
22000720,22000618,07359610
22035193,22035077,02415000
2277071,2277345,06885500
23004327,23006219,12414500
23785721,23785761,14187000
23970269,23971531,12144000
24243661,24242769,14216500
23759450,23759460,14154500
23935977,23936721,14362250
2210148,2210120,02363000
22130213,22130251,03498500
22152375,22152417,03456500
22957045,22958497,12358500
23914565,23916057,14325000
23073997,23074881,12451000
23719313,23722757,14096850
23719651,23721929,14092750
23856725,23856811,12035000
24274651,24274661,12167000
22151387,22151445,03460000
22165088,22165032,03439000
22152611,22152741,03455500
22226810,22226816,11532500
2323410,2323324,02372250
23436991,23437155,13331500
23736039,23737295,14139800
24357003,24357665,12374250
22274614,22274520,02408540
23786017,23786027,14185900
23838566,23839360,12043000
24282120,24282160,12082500
22440648,22441892,09497800
22253907,22252125,05487980
22440714,22440548,09497980
22290177,22290179,01333000
22592111,22593543,10259000
23123725,23124619,13011500
23123207,23123217,13011900
23970287,947110161,12143600
23894204,23894688,14316700
24241687,24243395,14222500
22592143,22592197,10258500
22514800,22514698,11098000
2705485,2703373,11478500
22592027,22592043,10258000
22592417,22592579,10259200
23970361,23970371,12141300
22846169,22846057,07263295
22683374,22683472,10263500
23735817,23737473,14137000
23844953,23844963,12040500
24285532,24285630,12056500
23648620,23649760,14020000
23850369,23850657,12025000
24287054,24287760,12054000
23184751,23184761,13083000
23551256,23552002,13310700
2376959,2376921,02371500
24356089,24356099,12381400
400540,400386,07197000
400816,400928,07196900
5640212,5641392,05503800
4148030,4147384,01435000
6269358,6269320,02177000
435122,435232,03213700
4573975,4573779,01139000
4995867,4995915,05488200
2430544,2431072,09430600
24356263,24356273,12377150
4153230,4153632,01440400
4198118,4198502,01532000
4505596,4507162,01638480
504706,504768,03281100
2430758,2430580,09430500
4369874,4369762,06191500
4725927,4725833,01580000
6289477,6289521,02193340
24356437,24359025,12375900
24373012,24373024,12411000
24385053,24384803,12447390
5670913,5670981,08104900
505374,505376,03281500
24422911,24422921,12488500
6712535,6711827,01054200
24432171,24432337,13023000
5781269,5780029,08155200
24537922,24538500,12117000
6844139,6844551,04063700
24537994,24538698,12115000
24538010,24538610,12114500
2507373,2507295,05514500
4188005,4187655,01451800
4547808,4545772,03186500
4869695,4869841,05507600
2580519,2579717,08101000
6087,931020005,01030500
2602683,2602515,01539000
2613590,2613402,01423000
5781483,5781945,08158700
2663781,2663727,11468500
2678276,2678272,01022500
4529677,4528981,01658500
4594215,4594257,01137500
5801078,5800758,05495000
5481755,5482169,06431500
272607,271963,04057510
2805473,2806655,11180500
5845078,5847932,01073000
2806777,2806869,11176400
4506920,4506854,01644000
5054201,5053433,07014500
2828006,2827252,11274500
487958,487624,03280700
5587882,5587920,08103900
2965686,2965570,06188000
2821816,16594625,11274630
2927219,2925589,05501000
