gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
09404450,0.3016279923240647,2126.89,2,0.06,0.02687,0,0.12,6.4079227,19.223768,0.51423806,3.8447537,-112.57318,37.438244,3.289540098934784e-05,0.0388334986297165,0.0033778830199671,0.2990321521653501,1774.44,3,0.055,0.01501,0,0.11,15.164956,45.49487,0.35164914,9.098973,-112.60137,37.32338,0.0002037513078064,0.1057699895441809,0.01291276987676
06911900,0.5457359377494354,358.04,1,0.06,0.01496,0,0.12,2.754999,8.2649975,0.7462729,1.6529994,-95.905716,38.707714,0.0001480106622766,0.0638333473416367,0.0147362259356959,0.5448299339513856,312.73,5,0.05,0.00095,0,0.1,16.958294,70.0,0.33472985,10.174976,-95.83078,38.70811,0.0001469793750943,0.0793100133575036,0.0152077724875394
06910800,0.5488612496679369,364.31,1,0.06,0.00949,0,0.12,2.0668976,6.2006927,0.8471447,1.2401385,-95.94199,38.60266,6.347735780343565e-05,0.0498728854233489,0.0120441696620325,0.5477604501237824,321.25,5,0.05,0.00031,0,0.1,19.548925,70.0,0.3143807,11.729355,-95.95026,38.553883,0.0004078545419862,0.1215945218960111,0.0561989753477978
07346045,0.11677395352769,70.19,3,0.055,0.0005,0,0.11,12.8217325,38.4652,0.37867698,7.6930394,-94.51753,32.9341,0.0013126212571306,0.2552559221417326,0.0929032443640583,0.1056077454146652,54.78,4,0.055,0.0003,0,0.11,25.778553,77.335655,0.27826262,15.467132,-94.32359,32.792645,0.0021624861729828,0.2927972499613929,0.0473154966160968
01170100,0.0448664715045858,520.95,1,0.06,0.08924,0,0.12,2.8380744,8.514223,0.73655546,1.7028447,-72.70359,42.814487,0.0001716698693999,0.0726002794983651,0.0217977779559392,0.0424141596644183,130.48,3,0.055,0.00454,0,0.11,12.312516,36.93755,0.38550812,7.38751,-72.65593,42.687534,0.0005358350524793,0.1388192777656476,0.0266803526125192
01169000,0.0477410218766617,439.27,2,0.06,0.01888,0,0.12,6.8035865,20.410759,0.5008233,4.082152,-72.83384,42.699463,0.0004770914010717,0.1502766071960033,0.0367833737960668,0.0439660850386098,140.81,4,0.055,1e-05,0,0.11,15.666306,50.0,0.34663928,9.399783,-72.73471,42.63472,1.0865374695348305e-05,0.0223989054751096,0.0030852601861941
03300400,0.4907872226809478,238.6,1,0.06,0.01646,0,0.12,3.4318063,10.295419,0.6773433,2.0590837,-85.15491,37.851418,0.0002791603300658,0.1001797695185357,0.0220203256529573,0.4877103543322209,167.77,5,0.05,0.00253,0,0.1,26.674671,80.02401,0.27409905,16.004803,-85.30045,37.828117,9.219735137715358e-05,0.0530217209909369,0.0129659695219674
03346000,0.4441394765991766,178.06,1,0.06,0.00218,0,0.12,5.5819764,16.745928,0.54651695,3.3491857,-88.00137,39.202362,0.0004683382699405,0.1471449627112449,0.0253743866845312,0.4369238186956283,139.85,4,0.055,3e-05,0,0.11,24.072214,72.216644,0.28679827,14.443329,-87.95153,38.979324,0.0015089869074513,0.2733112606039549,0.0668098956056752
10172700,0.0291631065556368,2145.64,2,0.06,0.03309,0,0.12,5.5934863,16.780458,0.5460205,3.3560917,-112.38337,39.900486,6.445233339311516e-06,0.0218121646582673,0.001702232433903,0.0269673807832741,1856.31,3,0.055,0.02064,0,0.11,10.454142,31.362425,0.41436478,6.2724853,-112.39338,39.99725,5.419748359441296e-05,0.0398170219780032,0.0078087552989298
02082950,0.034911538217219,66.92,1,0.06,0.00801,0,0.12,3.2341945,9.702583,0.69529974,1.9405167,-77.93141,36.272575,0.0001716044364082,0.0823374008345029,0.0120775169993556,0.0322657144393325,38.62,4,0.055,0.00115,0,0.11,19.698158,59.094475,0.3133277,11.818895,-77.88776,36.176052,0.0001475872834771,0.0724391681167923,0.0199896018149374
02108000,0.0325196344754475,15.2,3,0.055,0.00063,0,0.11,12.659298,37.977894,0.38081297,7.5955787,-77.925995,34.85989,7.89597668624422e-05,0.0652428449184202,0.012205830176146,0.0307127983347109,7.94,5,0.05,0.00129,0,0.1,29.76382,89.291466,0.2611633,17.858292,-77.83304,34.826233,7.892687808972671e-06,0.0130691092673436,0.0035160544809607
02221525,0.0814683280978223,125.38,4,0.055,0.00224,0,0.11,9.991364,50.0,0.42272505,5.994818,-83.54185,33.285473,2.6308199327882185e-05,0.02738884364071,0.0070931099021783,0.0805318005004187,117.02,5,0.05,1e-05,0,0.1,20.16851,70.0,0.31008267,12.101107,-83.478134,33.250774,3.86634593226661e-05,0.0428098981510083,0.0058106540135728
05444000,0.49283868182399,248.18,1,0.06,0.01851,0,0.12,1.8946449,5.6839347,0.8802989,1.1367869,-89.68296,41.95836,5.160474182276544e-05,0.0382768496195098,0.009665221353138,0.491918943179691,202.12,5,0.05,1e-05,0,0.1,18.36984,70.0,0.32312858,11.021904,-89.700714,41.88945,5.867814553975742e-05,0.0448944832955657,0.015536566968723
08194200,0.0697813577868755,109.21,2,0.06,0.00223,0,0.12,7.4150314,22.245094,0.48216483,4.449019,-99.0105,27.881548,2.5567949358589327e-06,0.0073833364407858,0.0018100905572266,0.0665430571972755,90.36,4,0.055,0.00092,0,0.11,27.62817,82.884514,0.2698847,16.576902,-98.94252,27.9915,0.000771517126657,0.2305348087998298,0.0226925823505699
08196000,0.101032198693793,458.15,1,0.06,0.01089,0,0.12,4.0697775,12.209332,0.6282618,2.4418664,-99.85099,29.499512,3.600625169522074e-06,0.0126065573963761,0.0015627340946996,0.0990331645025292,411.59,4,0.055,0.00413,0,0.11,17.562973,52.68892,0.32959569,10.537784,-99.78093,29.491064,0.0004128799766543,0.1433821858208097,0.0202234826064639
08195000,0.1022621463471009,568.12,1,0.06,0.02862,0,0.12,3.0340192,9.102057,0.71517736,1.8204114,-99.61905,29.60809,0.0001767870052871,0.0817051683367474,0.0256197015596269,0.0986495566328464,368.68,4,0.055,0.00275,0,0.11,25.914474,77.74342,0.27761775,15.548684,-99.695625,29.460663,0.0021585458646458,0.3413217866150872,0.0790809298334702
08198500,0.0970540779900788,345.72,4,0.055,0.00293,0,0.11,20.768103,62.304306,0.3061008,12.460861,-99.49018,29.48312,0.0001429150622744,0.0755554508322443,0.0132091156230241,0.090695432420923,248.18,4,0.055,0.00153,0,0.11,24.548502,73.6455,0.28432995,14.7291,-99.466064,29.226309,0.0020809624184593,0.4263557353583406,0.0805628741918491
08200000,0.098494126991083,505.86,1,0.06,0.02151,0,0.12,3.2641692,9.792507,0.6924756,1.9585015,-99.30087,29.717648,0.0002194353520857,0.0894316416312792,0.0146325004078368,0.0946144948183457,360.02,4,0.055,0.00259,0,0.11,16.167116,50.0,0.3418603,9.70027,-99.24999,29.561792,0.000257149223564,0.1128795745674027,0.0229441944098416
08202700,0.0888110008262977,376.64,1,0.06,0.00959,0,0.12,4.040533,12.121599,0.6302639,2.4243197,-99.326225,29.51115,0.0004102065834163,0.1273881111768476,0.0253569795016074,0.0856192196939537,269.13,3,0.055,0.0012,0,0.11,19.38798,58.16394,0.3155294,11.632788,-99.29648,29.339846,0.0006572717831856,0.1476873160186551,0.0394212808460521
10173450,0.1443107539944921,2768.05,1,0.06,0.09924,0,0.12,4.2621684,12.786506,0.6155888,2.557301,-112.679085,37.61128,0.0005263326869995,0.1409664809282297,0.0317638953947163,0.1383975906821411,2220.8,4,0.055,0.00743,0,0.11,16.401348,50.0,0.33969772,9.840809,-112.50576,37.62396,0.0002022847465723,0.0790851722050225,0.0123492326139155
08178880,0.0750484752704239,411.77,2,0.06,0.00733,0,0.12,5.321737,15.96521,0.5581504,3.193042,-99.146645,29.766378,0.0001916666273494,0.0810674402875652,0.017665603094481,0.0715232180671606,359.28,4,0.055,0.00222,0,0.11,25.753687,77.261055,0.2783811,15.452211,-99.03866,29.717842,0.000260384836074,0.1279814586127556,0.0282334390533109
02092500,0.0211265202591468,10.29,4,0.055,1e-05,0,0.11,17.529196,52.58759,0.32987574,10.517518,-77.50137,35.018574,3.5021061099649695e-05,0.0349970870223718,0.0100269218653311,0.0193878619555279,7.36,4,0.055,0.00017,0,0.11,19.632257,58.89677,0.31379128,11.779354,-77.439156,35.07174,0.0003878641952255,0.1244234421353397,0.0482560349195271
02231342,0.1483746258586919,19.4,1,0.06,0.00158,0,0.12,4.863468,14.5904045,0.5807704,2.918081,-80.833534,27.49882,2.235695404590984e-05,0.0308957053722219,0.003111340134522,0.1472490492511729,10.32,3,0.055,0.00045,0,0.11,13.528896,40.58669,0.36981332,8.117338,-80.79424,27.572691,0.0002224825085134,0.1187177053765038,0.0082759393894463
03049800,0.6562851480641234,346.92,1,0.06,0.02296,0,0.12,2.05446,6.16338,0.8494035,1.232676,-80.00401,40.58013,6.413545942013205e-05,0.0500759745660418,0.0092753196283066,0.6545584948284254,227.55,3,0.055,0.00023,0,0.11,13.53491,40.604733,0.3697408,8.120946,-79.94723,40.50802,7.296106113045398e-05,0.0575904887254763,0.0145250641438592
