gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
04197100,0.1103496136825854,254.48,4,0.055,0.00268,0,0.11,18.473244,55.41973,0.32232934,11.083946,-83.10529,41.019993,0.0001892482414332,0.0816480272081822,0.0189154060828531,0.1101603654411522,249.87,4,0.055,0.00226,0,0.11,18.606565,55.8197,0.32130837,11.163939,-83.12275,41.017376,0.0001520383694935,0.080055090218341,0.0225671826756171
09210500,0.593776479594541,2139.87,4,0.055,0.00478,0,0.11,18.684832,56.054493,0.3207139,11.210898,-110.43427,42.0954,0.0007322487874235,0.1485563376092633,0.0471045931588437,0.5930442308071174,2119.98,4,0.055,0.00415,0,0.11,18.686726,56.060177,0.32069957,11.212035,-110.414345,42.095577,1.2928976272290876e-05,0.0251389574217721,0.0014161653775973
01142500,0.0752816681197394,200.65,3,0.055,0.00139,0,0.11,10.820802,32.462406,0.4081107,6.4924808,-72.66303,43.93586,0.0004826612137803,0.140680661930667,0.0339821257615451,0.074799006905959,196.09,3,0.055,0.00296,0,0.11,11.52957,34.58871,0.39684594,6.917742,-72.65474,43.927464,1.6542266620697666e-05,0.0315716405634244,0.0045853321273477
09404450,0.2993317465517051,1797.22,3,0.055,0.01776,0,0.11,14.678709,44.03613,0.35674152,8.807225,-112.60232,37.33416,0.000299594386355,0.122339775087769,0.0120790578777912,0.2990321521653501,1774.44,3,0.055,0.01501,0,0.11,15.164956,45.49487,0.35164914,9.098973,-112.60137,37.32338,0.0002037513078064,0.1057699895441809,0.01291276987676
09505350,0.2254261576104611,1131.67,4,0.055,0.01097,0,0.11,18.264288,54.792866,0.3239511,10.958573,-111.778725,34.72146,0.0004587186224007,0.1350421260355488,0.0216236320703491,0.2249674389880603,1106.68,4,0.055,0.00869,0,0.11,18.36475,55.094254,0.32316807,11.01885,-111.78191,34.706043,0.000302238060734,0.1252102988556201,0.0223723616154307
08158810,0.0924065232292277,271.66,2,0.06,0.00427,0,0.12,8.0876,24.2628,0.46404514,4.85256,-97.937454,30.15612,0.0007122172980911,0.2089300997446927,0.0407993781309094,0.0916943059311366,253.58,3,0.055,0.00513,0,0.11,10.279909,30.839727,0.41744864,6.167946,-97.88448,30.156797,0.002066579577535,0.3841780347559753,0.1254576847809528
12414500,0.7087495541001547,666.43,5,0.05,3e-05,0,0.1,35.636597,106.90979,0.2412175,21.381958,-116.18895,47.27427,0.0008568086108909,0.2009193333427854,0.0401779216857446,0.7078927454892638,666.33,5,0.05,1e-05,0,0.1,35.74383,107.2315,0.24089795,21.4463,-116.209236,47.277252,7.76781385497363e-05,0.059189738459177,0.0102000089663361
05584500,0.4480034467453765,154.76,5,0.05,3e-05,0,0.1,30.572521,91.71756,0.2580927,18.343513,-90.894295,40.3308,9.00327483407088e-05,0.0551165432292161,0.0115873520725286,0.4479134139970359,154.73,5,0.05,7e-05,0,0.1,30.678509,92.03553,0.25769892,18.407106,-90.87687,40.32928,0.0004498047946942,0.1617490823005025,0.0242354337915065
03300400,0.4879278379009586,169.56,5,0.05,0.00066,0,0.1,26.623245,79.869736,0.27433252,15.973947,-85.28404,37.83461,0.0002174835687377,0.0882255997587333,0.0279025187744971,0.4877103543322209,167.77,5,0.05,0.00253,0,0.1,26.674671,80.02401,0.27409905,16.004803,-85.30045,37.828117,9.219735137715358e-05,0.0530217209909369,0.0129659695219674
09081600,0.530363820996346,2113.47,3,0.055,0.01688,0,0.11,19.282164,57.846493,0.31629214,11.569299,-107.230576,39.23611,0.0005448465476962,0.14354909276019,0.0235840700028312,0.5298189744486499,2071.0,3,0.055,0.00021,0,0.11,20.825916,62.477745,0.3057256,12.495549,-107.23496,39.247173,2.0660054057998822e-06,0.0079638658200288,0.0014471754745031
