basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag,neg_basin_flag
01078000,0.004984973625852713,-41.3293977154903,0.0230790191584523,0.0010518839268482182,0.032432760086804485,0.02901890116617771,-5.611341496661742,0.07371670392732002,True,True
01170100,0.0073746416531355165,-2.512654532112896,0.2215990594635181,0.00019103690931789212,0.013821610228837019,0.009949169140436776,0.08079372289559583,0.40236607503927074,True,True
01195100,0.009691993439698808,0.20066354937281128,0.5557604302694104,7.508545913241961e-05,0.008665186618441614,0.00322208773167083,-1.7547783870849178,0.5033337001915598,True,False
02014000,0.004141553396481093,-25.516948797332056,0.036341238535028145,0.00045483102384662237,0.021326767777762816,0.0187279183261246,-8.701414365726922,0.18696617841006483,True,True
02374500,0.006482397681806576,-3.9030960785907434,0.16940262985499835,0.00020603535235861348,0.01435393159934286,0.00893615608355761,-0.3774677260026138,0.28854606441217173,True,True
04063700,0.006272409328713661,-0.8795440689025125,0.34727719947037744,7.394712556810911e-05,0.008599251453941158,0.0063648177740441535,-0.12342094424253713,0.1685806533783521,True,True
06280300,0.0037125440810362093,-6.139363111745862,0.12285973561701732,9.840172435263582e-05,0.009919764329490688,0.007747900139088138,-1.9343769337883074,0.031204059517098117,True,True
06339500,0.009292393223263444,-0.9624130288358019,0.337562652562661,0.0001694515623525964,0.013017356196731977,0.007532471328282499,-6.940348063493153,0.12476889509786411,True,True
07184000,0.00034239513203574974,-3033.5886986448736,0.0003294253929876643,0.00035575826557233476,0.01886155522676576,0.010780434178784081,-1563.3029460442515,0.2288349661278807,True,True
07292500,0.003339854037426359,-11.702331055154932,0.07298028313392645,0.00014168973943576437,0.011903349924948202,0.0056346792136439125,-1.7405344421786868,0.19256082729775273,True,True
08380500,0.0016370658380737775,-75.45475767085802,0.01291076274809966,0.00020489756995792027,0.01431424360411406,0.0081120310547902,-864.6990592924849,0.011141246129968382,True,True
10242000,0.005706232876400874,-8.627897417215468,0.09409198835323367,0.00031349486935555384,0.017705786324124492,0.010232056339861424,-12.853271879598298,0.09990218924153477,True,True
10259200,0.0018813203329935174,-55.37956000837038,0.017427808785116558,0.00019954790880147812,0.01412614274320765,0.006077333721668421,-265.87899953821295,0.47793429065197346,True,True
11151300,0.0005818957095809165,-266.2060755771922,0.0037284763137745945,9.047667642295888e-05,0.009511922856234636,0.006304497921278508,-1100.3993492943728,0.1717679119533029,True,True
11274500,0.008167022148338855,-0.6109429853545916,0.38300338445122745,0.00010745030110167145,0.010365823705893876,0.0057823985294653225,-2.1844096960391703,0.49642768127805054,True,True
12374250,0.009882490770544487,-2.097465923664609,0.24405328040059454,0.00030250974679470465,0.017392807329315894,0.012690114267162468,-0.24862336242639183,0.4513903960089124,True,True
