metric,test_mean,test_median,test_count,val_mean,val_median,val_count
NSE,-20.2699,0.400663,601,-inf,0.376871,604
NNSE,0.618035,0.625259,601,0.60564,0.617578,601
MSE,164.413,3.6943,601,203.871,3.45267,604
RMSE,5.73563,1.92206,601,5.90352,1.85814,604
MAE,2.55227,1.40628,601,2.45878,1.37582,604
KGE,-6.50241,0.199588,601,-5.25897,0.16251,601
Pearson-r,0.736958,0.849912,601,0.72348,0.841095,601
