metric,test_mean,test_median,test_count,val_mean,val_median,val_count
NSE,-inf,0.51394,565,-inf,0.482928,565
NNSE,0.596875,0.677785,559,0.588368,0.671538,558
MSE,3.0499,0.0190727,565,3.48515,0.0169359,565
RMSE,0.577477,0.138104,565,0.537292,0.130138,565
MAE,0.215346,0.0630338,565,0.191261,0.0607866,565
KGE,-17.4038,0.467521,559,-131.004,0.430378,558
Pearson-r,0.745213,0.863137,559,0.740448,0.851419,558
