metric,test_mean,test_median,test_count,val_mean,val_median,val_count
NSE,-inf,-0.0963338,566,-inf,-0.192752,566
NNSE,0.438235,0.485055,560,0.418156,0.460584,559
MSE,34.548,0.0434446,566,35.0492,0.0400228,566
RMSE,1.99668,0.208433,566,1.90842,0.200057,566
MAE,0.848142,0.104357,566,0.792901,0.105394,566
KGE,-27.2893,0.121604,560,-338.511,0.0283302,559
Pearson-r,0.522806,0.549342,560,0.507454,0.54129,559
