metric,test_mean,test_median,test_count,val_mean,val_median,val_count
NSE,-inf,-1.46599,565,-inf,-1.53718,565
NNSE,0.349847,0.305254,559,0.381834,0.300734,558
MSE,25.5148,0.281433,565,13.2112,0.171366,565
RMSE,2.06839,0.530503,565,1.26792,0.413964,565
MAE,0.834214,0.236767,565,0.458716,0.226428,565
KGE,-1342.1,-0.809896,559,-1950.15,-0.749776,558
Pearson-r,0.628444,0.680506,559,0.656711,0.735299,558
