metric,test_mean,test_median,test_count,val_mean,val_median,val_count
NSE,-inf,-34.0682,566,-inf,-25.8291,566
NNSE,0.199083,0.0317533,560,0.215878,0.0392792,559
MSE,219.415,1.2963,566,125.992,1.35079,566
RMSE,5.43712,1.13855,566,4.18797,1.16222,566
MAE,2.73566,0.721184,566,1.90193,0.718814,566
KGE,-711.167,-7.39274,560,-2412.49,-7.44352,559
Pearson-r,0.43538,0.461947,560,0.482007,0.506666,559
