basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag
01169000,0.0026515803079340938,-9.62083658354614,0.08605232444417064,7.467380765143943e-05,0.00864140079220027,0.007842612304879749,-200.02598679331652,0.08655225134680589,True
01170100,0.005063304182572443,-7.713197728935588,0.10295270701851388,0.00022338067926037084,0.01494592517244653,0.014048858982239919,-0.9816896372397839,0.28085634223944134,True
01181000,0.00951785239829472,-1.2510470247240146,0.3075932130157026,0.00020392125658156342,0.014280100020012584,0.010474218265802748,-0.10213610361479586,0.4559669339212451,True
01439500,0.0018973824588729288,-91.09728981649513,0.010741451249237314,0.00033155578715772494,0.01820867340466419,0.01625839670173085,-3.6582005221303806,0.06786169724134807,True
01487000,0.009598833308328052,-6.551417682377956,0.11693967446599131,0.0006957695085051801,0.02637744317603926,0.021499220414850778,-0.6087586552107007,0.2246695146286837,True
01664000,0.007342807639063833,-4.712415565141623,0.1489776653866783,0.0003079953047793799,0.017549795006762327,0.015680450313803947,-0.8226536217813698,0.17362755904309546,True
02018000,0.004560271866803382,-0.26784797881278677,0.4409466636839995,2.6366267360238015e-05,0.0051348093791530386,0.002648911700293457,-0.22090230848893389,0.036897013154865634,True
02046000,0.008536307782515554,-4.2744983100485605,0.159375291949399,0.0003843450467729921,0.019604720012614107,0.00995485196981792,-0.5438658237923655,0.20414052155809645,True
02055100,0.005480054574838702,-1.9993081136142008,0.25004325038019976,9.00722163908645e-05,0.009490638355288041,0.0077671962835094656,-51.88672356164243,0.37429783282013057,True
02081500,0.008111918633970516,-1.4331974024945051,0.2912736678856323,0.00016011223352802573,0.012653546282683987,0.009428392313890003,-15.850557966704311,0.10447338012594393,True
02384540,0.0052396863057972455,-5.141827228357959,0.14002018923523005,0.00016861964455909764,0.012985362704179566,0.008790923616974373,-42.62958390531597,0.415338739486092,True
03028000,0.009337181636086031,-0.805820515608993,0.35640198453070104,0.0001574367794142593,0.012547381376775765,0.005986269335278255,-5.897475542301196,0.20187896482208587,True
03180500,0.0032521190771249583,-15.200155321478594,0.0581390098699432,0.00017133735429037482,0.0130895895386515,0.010024806710520832,-1.3890523451148113,0.19625929415609353,True
03241500,0.004847912939868516,-10.700733878396731,0.07873560768806805,0.00027499368830956653,0.01658293364605812,0.012828773602645224,-1.4650184743216301,0.16651199379797552,True
04296000,0.008710664628812084,-1.659397417842357,0.27326903471162667,0.000201783582883269,0.014205054835630485,0.011172015240315443,-1.6928642338699413,0.08281561407699496,True
05123400,0.0,,,7.17868100753217e-05,0.008472709724481402,0.006425360257982245,,,True
05129115,0.0034637323413055656,-9.057400760836503,0.09043716707291968,0.00012066307960558159,0.01098467476102873,0.007580651192187269,-94.04788206743217,-0.02584895024636577,True
